,price,accommodates,review_scores_rating,gemiddelde WOZ-waarde,Gemiddelde Airbnb Prijs
0,59,2,97.0,459254,140.3130970724191
1,72,2,92.0,459254,140.3130970724191
2,100,4,97.0,459254,140.3130970724191
3,109,2,99.0,459254,140.3130970724191
4,105,3,95.0,459254,140.3130970724191
5,70,2,94.0,459254,140.3130970724191
6,100,2,95.0,459254,140.3130970724191
7,98,3,95.0,459254,140.3130970724191
8,70,2,89.0,459254,140.3130970724191
9,99,2,96.0,459254,140.3130970724191
10,225,4,96.0,459254,140.3130970724191
11,73,2,94.0,459254,140.3130970724191
12,95,2,93.0,459254,140.3130970724191
13,89,2,97.0,459254,140.3130970724191
14,45,1,97.0,459254,140.3130970724191
15,124,2,92.0,459254,140.3130970724191
16,107,4,98.0,459254,140.3130970724191
17,72,2,91.0,459254,140.3130970724191
18,96,2,98.0,459254,140.3130970724191
19,75,2,93.0,459254,140.3130970724191
20,395,4,80.0,459254,140.3130970724191
21,199,2,88.0,459254,140.3130970724191
22,130,2,97.0,459254,140.3130970724191
23,150,4,95.0,459254,140.3130970724191
24,145,3,98.0,459254,140.3130970724191
25,150,4,90.0,459254,140.3130970724191
26,125,2,98.0,459254,140.3130970724191
27,175,4,100.0,459254,140.3130970724191
28,110,2,95.0,459254,140.3130970724191
29,72,2,94.0,459254,140.3130970724191
30,235,4,90.0,459254,140.3130970724191
31,150,2,97.0,459254,140.3130970724191
32,460,4,98.0,459254,140.3130970724191
33,120,2,100.0,459254,140.3130970724191
34,140,4,97.0,459254,140.3130970724191
35,139,4,100.0,459254,140.3130970724191
36,299,4,91.0,459254,140.3130970724191
37,175,5,89.0,459254,140.3130970724191
38,195,4,100.0,459254,140.3130970724191
39,95,2,93.0,459254,140.3130970724191
40,90,1,88.0,459254,140.3130970724191
41,90,2,96.0,459254,140.3130970724191
42,85,2,94.0,459254,140.3130970724191
43,140,4,97.0,459254,140.3130970724191
44,150,2,89.0,459254,140.3130970724191
45,139,4,96.0,459254,140.3130970724191
46,69,4,84.0,459254,140.3130970724191
47,213,4,97.0,459254,140.3130970724191
48,453,4,100.0,459254,140.3130970724191
49,99,2,93.0,459254,140.3130970724191
50,90,2,94.0,459254,140.3130970724191
51,40,2,98.0,459254,140.3130970724191
52,205,6,95.0,459254,140.3130970724191
53,170,4,98.0,459254,140.3130970724191
54,125,3,100.0,459254,140.3130970724191
55,89,2,95.0,459254,140.3130970724191
56,337,6,97.0,459254,140.3130970724191
57,120,4,95.0,459254,140.3130970724191
58,145,2,100.0,459254,140.3130970724191
59,85,3,95.0,459254,140.3130970724191
60,99,2,92.0,459254,140.3130970724191
61,109,2,98.0,459254,140.3130970724191
62,105,2,98.0,459254,140.3130970724191
63,350,6,95.0,459254,140.3130970724191
64,140,2,100.0,459254,140.3130970724191
65,165,4,99.0,459254,140.3130970724191
66,75,2,94.0,459254,140.3130970724191
67,125,2,97.0,459254,140.3130970724191
68,60,4,98.0,459254,140.3130970724191
69,140,2,98.0,459254,140.3130970724191
70,120,3,93.0,459254,140.3130970724191
71,80,4,90.0,459254,140.3130970724191
72,110,2,100.0,459254,140.3130970724191
73,315,6,98.0,459254,140.3130970724191
74,89,2,93.0,459254,140.3130970724191
75,109,2,95.0,459254,140.3130970724191
76,100,2,97.0,459254,140.3130970724191
77,150,4,98.0,459254,140.3130970724191
78,195,4,97.0,459254,140.3130970724191
79,115,4,95.0,459254,140.3130970724191
80,70,2,94.0,459254,140.3130970724191
81,275,4,98.0,459254,140.3130970724191
82,240,6,94.0,459254,140.3130970724191
83,95,2,93.0,459254,140.3130970724191
84,109,2,96.0,459254,140.3130970724191
85,125,6,,459254,140.3130970724191
86,89,2,99.0,459254,140.3130970724191
87,250,5,90.0,459254,140.3130970724191
88,69,2,85.0,459254,140.3130970724191
89,89,2,97.0,459254,140.3130970724191
90,110,2,89.0,459254,140.3130970724191
91,225,4,99.0,459254,140.3130970724191
92,150,4,92.0,459254,140.3130970724191
93,180,4,99.0,459254,140.3130970724191
94,115,4,95.0,459254,140.3130970724191
95,350,4,96.0,459254,140.3130970724191
96,119,3,95.0,459254,140.3130970724191
97,379,2,98.0,459254,140.3130970724191
98,180,4,87.0,459254,140.3130970724191
99,175,4,95.0,459254,140.3130970724191
100,70,2,91.0,459254,140.3130970724191
101,70,2,100.0,459254,140.3130970724191
102,250,6,88.0,459254,140.3130970724191
103,385,9,93.0,459254,140.3130970724191
104,250,8,100.0,459254,140.3130970724191
105,220,6,,459254,140.3130970724191
106,295,4,98.0,459254,140.3130970724191
107,80,2,97.0,459254,140.3130970724191
108,140,4,96.0,459254,140.3130970724191
109,74,2,94.0,459254,140.3130970724191
110,99,2,91.0,459254,140.3130970724191
111,120,2,97.0,459254,140.3130970724191
112,225,4,94.0,459254,140.3130970724191
113,135,2,95.0,459254,140.3130970724191
114,69,2,93.0,459254,140.3130970724191
115,139,2,94.0,459254,140.3130970724191
116,88,2,96.0,459254,140.3130970724191
117,79,2,91.0,459254,140.3130970724191
118,140,4,100.0,459254,140.3130970724191
119,79,2,95.0,459254,140.3130970724191
120,125,2,95.0,459254,140.3130970724191
121,170,4,92.0,459254,140.3130970724191
122,150,4,97.0,459254,140.3130970724191
123,125,3,93.0,459254,140.3130970724191
124,149,5,100.0,459254,140.3130970724191
125,123,2,97.0,459254,140.3130970724191
126,79,1,97.0,459254,140.3130970724191
127,99,2,97.0,459254,140.3130970724191
128,135,3,88.0,459254,140.3130970724191
129,100,2,98.0,459254,140.3130970724191
130,150,2,97.0,459254,140.3130970724191
131,213,4,96.0,459254,140.3130970724191
132,199,4,98.0,459254,140.3130970724191
133,78,2,98.0,459254,140.3130970724191
134,95,4,99.0,459254,140.3130970724191
135,110,2,95.0,459254,140.3130970724191
136,110,2,98.0,459254,140.3130970724191
137,160,4,96.0,459254,140.3130970724191
138,140,4,97.0,459254,140.3130970724191
139,115,2,96.0,459254,140.3130970724191
140,120,3,97.0,459254,140.3130970724191
141,148,4,98.0,459254,140.3130970724191
142,92,3,99.0,459254,140.3130970724191
143,175,4,86.0,459254,140.3130970724191
144,80,4,96.0,459254,140.3130970724191
145,110,3,91.0,459254,140.3130970724191
146,95,4,96.0,459254,140.3130970724191
147,167,3,98.0,459254,140.3130970724191
148,75,2,97.0,459254,140.3130970724191
149,60,3,,459254,140.3130970724191
150,85,3,98.0,459254,140.3130970724191
151,110,2,95.0,459254,140.3130970724191
152,130,4,87.0,459254,140.3130970724191
153,190,3,100.0,459254,140.3130970724191
154,115,4,97.0,459254,140.3130970724191
155,500,4,,459254,140.3130970724191
156,95,2,91.0,459254,140.3130970724191
157,179,5,98.0,459254,140.3130970724191
158,60,4,91.0,459254,140.3130970724191
159,119,2,98.0,459254,140.3130970724191
160,145,4,94.0,459254,140.3130970724191
161,150,4,94.0,459254,140.3130970724191
162,80,2,96.0,459254,140.3130970724191
163,150,4,96.0,459254,140.3130970724191
164,175,4,100.0,459254,140.3130970724191
165,150,4,98.0,459254,140.3130970724191
166,135,4,94.0,459254,140.3130970724191
167,54,2,97.0,459254,140.3130970724191
168,350,4,95.0,459254,140.3130970724191
169,99,4,96.0,459254,140.3130970724191
170,38,1,90.0,459254,140.3130970724191
171,99,2,99.0,459254,140.3130970724191
172,120,2,99.0,459254,140.3130970724191
173,78,3,86.0,459254,140.3130970724191
174,94,4,97.0,459254,140.3130970724191
175,299,4,97.0,459254,140.3130970724191
176,330,5,94.0,459254,140.3130970724191
177,110,2,95.0,459254,140.3130970724191
178,275,4,100.0,459254,140.3130970724191
179,80,2,91.0,459254,140.3130970724191
180,250,2,94.0,459254,140.3130970724191
181,85,4,,459254,140.3130970724191
182,600,16,95.0,459254,140.3130970724191
183,490,16,84.0,459254,140.3130970724191
184,75,2,95.0,459254,140.3130970724191
185,115,2,80.0,459254,140.3130970724191
186,120,4,95.0,459254,140.3130970724191
187,99,2,100.0,459254,140.3130970724191
188,119,2,100.0,459254,140.3130970724191
189,498,16,92.0,459254,140.3130970724191
190,90,2,98.0,459254,140.3130970724191
191,101,2,99.0,459254,140.3130970724191
192,75,3,100.0,459254,140.3130970724191
193,109,2,95.0,459254,140.3130970724191
194,295,6,,459254,140.3130970724191
195,105,2,97.0,459254,140.3130970724191
196,175,5,84.0,459254,140.3130970724191
197,99,3,100.0,459254,140.3130970724191
198,70,2,94.0,459254,140.3130970724191
199,500,4,93.0,459254,140.3130970724191
200,155,2,98.0,459254,140.3130970724191
201,109,3,95.0,459254,140.3130970724191
202,80,2,100.0,459254,140.3130970724191
203,85,4,100.0,459254,140.3130970724191
204,75,2,94.0,459254,140.3130970724191
205,80,2,100.0,459254,140.3130970724191
206,169,4,,459254,140.3130970724191
207,145,4,91.0,459254,140.3130970724191
208,90,2,96.0,459254,140.3130970724191
209,110,2,97.0,459254,140.3130970724191
210,150,5,93.0,459254,140.3130970724191
211,125,5,100.0,459254,140.3130970724191
212,397,4,93.0,459254,140.3130970724191
213,91,4,96.0,459254,140.3130970724191
214,73,2,96.0,459254,140.3130970724191
215,85,2,96.0,459254,140.3130970724191
216,200,5,100.0,459254,140.3130970724191
217,90,2,92.0,459254,140.3130970724191
218,120,3,95.0,459254,140.3130970724191
219,90,2,95.0,459254,140.3130970724191
220,80,2,96.0,459254,140.3130970724191
221,65,2,81.0,459254,140.3130970724191
222,69,2,97.0,459254,140.3130970724191
223,227,4,97.0,459254,140.3130970724191
224,107,2,80.0,459254,140.3130970724191
225,120,2,100.0,459254,140.3130970724191
226,90,2,97.0,459254,140.3130970724191
227,115,2,94.0,459254,140.3130970724191
228,99,2,97.0,459254,140.3130970724191
229,180,3,100.0,459254,140.3130970724191
230,140,4,98.0,459254,140.3130970724191
231,120,3,97.0,459254,140.3130970724191
232,180,3,93.0,459254,140.3130970724191
233,250,4,98.0,459254,140.3130970724191
234,90,1,95.0,459254,140.3130970724191
235,98,2,98.0,459254,140.3130970724191
236,125,4,93.0,459254,140.3130970724191
237,115,2,100.0,459254,140.3130970724191
238,155,4,,459254,140.3130970724191
239,120,2,100.0,459254,140.3130970724191
240,250,3,100.0,459254,140.3130970724191
241,85,2,94.0,459254,140.3130970724191
242,189,2,96.0,459254,140.3130970724191
243,160,4,99.0,459254,140.3130970724191
244,150,2,100.0,459254,140.3130970724191
245,95,2,97.0,459254,140.3130970724191
246,135,4,99.0,459254,140.3130970724191
247,175,4,100.0,459254,140.3130970724191
248,119,2,97.0,459254,140.3130970724191
249,180,4,99.0,459254,140.3130970724191
250,175,4,,459254,140.3130970724191
251,150,2,97.0,459254,140.3130970724191
252,138,2,95.0,459254,140.3130970724191
253,110,2,89.0,459254,140.3130970724191
254,245,3,97.0,459254,140.3130970724191
255,145,4,97.0,459254,140.3130970724191
256,99,2,100.0,459254,140.3130970724191
257,159,2,98.0,459254,140.3130970724191
258,146,4,90.0,459254,140.3130970724191
259,120,2,96.0,459254,140.3130970724191
260,224,4,80.0,459254,140.3130970724191
261,145,4,97.0,459254,140.3130970724191
262,69,2,94.0,459254,140.3130970724191
263,130,2,93.0,459254,140.3130970724191
264,150,4,60.0,459254,140.3130970724191
265,100,2,93.0,459254,140.3130970724191
266,344,4,97.0,459254,140.3130970724191
267,250,2,98.0,459254,140.3130970724191
268,225,5,,459254,140.3130970724191
269,220,4,98.0,459254,140.3130970724191
270,64,2,95.0,459254,140.3130970724191
271,140,4,98.0,459254,140.3130970724191
272,185,7,89.0,459254,140.3130970724191
