,id,neighbourhood,gebied,gemiddelde WOZ-waarde
0,2818,Oostelijk Havengebied - Indische Buurt,M Oost,459254
1,52490,Oostelijk Havengebied - Indische Buurt,M Oost,459254
2,57408,Oostelijk Havengebied - Indische Buurt,M Oost,459254
3,62015,Oud-Oost,M Oost,459254
4,75382,Oud-Oost,M Oost,459254
5,75444,Oud-Oost,M Oost,459254
6,125425,Oud-Oost,M Oost,459254
7,141708,Oostelijk Havengebied - Indische Buurt,M Oost,459254
8,250751,Oostelijk Havengebied - Indische Buurt,M Oost,459254
9,260187,Oud-Oost,M Oost,459254
10,261902,Oud-Oost,M Oost,459254
11,262209,Oostelijk Havengebied - Indische Buurt,M Oost,459254
12,291637,Watergraafsmeer,M Oost,459254
13,291752,Oud-Oost,M Oost,459254
14,300067,Oud-Oost,M Oost,459254
15,313778,Oostelijk Havengebied - Indische Buurt,M Oost,459254
16,315820,Oud-Oost,M Oost,459254
17,342540,Watergraafsmeer,M Oost,459254
18,343094,Oud-Oost,M Oost,459254
19,349208,Oud-Oost,M Oost,459254
20,350271,IJburg - Zeeburgereiland,M Oost,459254
21,379885,Oud-Oost,M Oost,459254
22,402353,Watergraafsmeer,M Oost,459254
23,406794,Oud-Oost,M Oost,459254
24,415619,Oostelijk Havengebied - Indische Buurt,M Oost,459254
25,441424,Oostelijk Havengebied - Indische Buurt,M Oost,459254
26,454056,Oostelijk Havengebied - Indische Buurt,M Oost,459254
27,455881,Oud-Oost,M Oost,459254
28,460469,Oud-Oost,M Oost,459254
29,462809,Oostelijk Havengebied - Indische Buurt,M Oost,459254
30,466259,Oud-Oost,M Oost,459254
31,480245,Oud-Oost,M Oost,459254
32,513743,Oostelijk Havengebied - Indische Buurt,M Oost,459254
33,514946,Watergraafsmeer,M Oost,459254
34,538723,Watergraafsmeer,M Oost,459254
35,543930,Oud-Oost,M Oost,459254
36,551606,Oostelijk Havengebied - Indische Buurt,M Oost,459254
37,552300,Oud-Oost,M Oost,459254
38,561713,Oud-Oost,M Oost,459254
39,569499,Oud-Oost,M Oost,459254
40,585258,Oostelijk Havengebied - Indische Buurt,M Oost,459254
41,588116,Oud-Oost,M Oost,459254
42,589194,Oud-Oost,M Oost,459254
43,590386,Watergraafsmeer,M Oost,459254
44,601498,Oud-Oost,M Oost,459254
45,609202,Watergraafsmeer,M Oost,459254
46,613110,IJburg - Zeeburgereiland,M Oost,459254
47,623652,Oud-Oost,M Oost,459254
48,638555,Oostelijk Havengebied - Indische Buurt,M Oost,459254
49,640062,Watergraafsmeer,M Oost,459254
50,640623,Oud-Oost,M Oost,459254
51,652767,Oostelijk Havengebied - Indische Buurt,M Oost,459254
52,660856,Watergraafsmeer,M Oost,459254
53,663390,Watergraafsmeer,M Oost,459254
54,664832,Oostelijk Havengebied - Indische Buurt,M Oost,459254
55,687386,Oostelijk Havengebied - Indische Buurt,M Oost,459254
56,693475,Oostelijk Havengebied - Indische Buurt,M Oost,459254
57,696113,IJburg - Zeeburgereiland,M Oost,459254
58,723094,Oostelijk Havengebied - Indische Buurt,M Oost,459254
59,728527,Oostelijk Havengebied - Indische Buurt,M Oost,459254
60,730965,Oud-Oost,M Oost,459254
61,744659,Oud-Oost,M Oost,459254
62,758706,Oud-Oost,M Oost,459254
63,779225,Oostelijk Havengebied - Indische Buurt,M Oost,459254
64,780614,Oostelijk Havengebied - Indische Buurt,M Oost,459254
65,780873,Oud-Oost,M Oost,459254
66,794927,Oostelijk Havengebied - Indische Buurt,M Oost,459254
67,818079,Oostelijk Havengebied - Indische Buurt,M Oost,459254
68,856231,Oud-Oost,M Oost,459254
69,858666,Oostelijk Havengebied - Indische Buurt,M Oost,459254
70,862597,Oostelijk Havengebied - Indische Buurt,M Oost,459254
71,867418,Oostelijk Havengebied - Indische Buurt,M Oost,459254
72,870342,Oud-Oost,M Oost,459254
73,874688,Oud-Oost,M Oost,459254
74,881384,Oostelijk Havengebied - Indische Buurt,M Oost,459254
75,884164,Oostelijk Havengebied - Indische Buurt,M Oost,459254
76,919118,Oostelijk Havengebied - Indische Buurt,M Oost,459254
77,920560,Watergraafsmeer,M Oost,459254
78,939698,Oostelijk Havengebied - Indische Buurt,M Oost,459254
79,951483,Watergraafsmeer,M Oost,459254
80,951605,IJburg - Zeeburgereiland,M Oost,459254
81,957396,IJburg - Zeeburgereiland,M Oost,459254
82,961082,Oud-Oost,M Oost,459254
83,998139,Oostelijk Havengebied - Indische Buurt,M Oost,459254
84,1005695,Oud-Oost,M Oost,459254
85,1014716,Watergraafsmeer,M Oost,459254
86,1015087,Oud-Oost,M Oost,459254
87,1021278,Watergraafsmeer,M Oost,459254
88,1025835,IJburg - Zeeburgereiland,M Oost,459254
89,1025838,Oud-Oost,M Oost,459254
90,1037832,IJburg - Zeeburgereiland,M Oost,459254
91,1038625,Watergraafsmeer,M Oost,459254
92,1047746,Oud-Oost,M Oost,459254
93,1055570,IJburg - Zeeburgereiland,M Oost,459254
94,1068565,IJburg - Zeeburgereiland,M Oost,459254
95,1071189,IJburg - Zeeburgereiland,M Oost,459254
96,1071414,Oud-Oost,M Oost,459254
97,1079499,Oud-Oost,M Oost,459254
98,1089874,Oud-Oost,M Oost,459254
99,1095819,Oud-Oost,M Oost,459254
100,1097257,Oostelijk Havengebied - Indische Buurt,M Oost,459254
101,1099036,Oostelijk Havengebied - Indische Buurt,M Oost,459254
102,1105924,Watergraafsmeer,M Oost,459254
103,1121218,IJburg - Zeeburgereiland,M Oost,459254
104,1129677,Oostelijk Havengebied - Indische Buurt,M Oost,459254
105,1157922,IJburg - Zeeburgereiland,M Oost,459254
106,1162769,Oud-Oost,M Oost,459254
107,1173892,Watergraafsmeer,M Oost,459254
108,1184777,Oostelijk Havengebied - Indische Buurt,M Oost,459254
109,1185141,IJburg - Zeeburgereiland,M Oost,459254
110,1194317,Watergraafsmeer,M Oost,459254
111,1201952,Oostelijk Havengebied - Indische Buurt,M Oost,459254
112,1224935,Oostelijk Havengebied - Indische Buurt,M Oost,459254
113,1229823,Oostelijk Havengebied - Indische Buurt,M Oost,459254
114,1230430,Oud-Oost,M Oost,459254
115,1238409,Watergraafsmeer,M Oost,459254
116,1252179,Oostelijk Havengebied - Indische Buurt,M Oost,459254
117,1255976,Watergraafsmeer,M Oost,459254
118,1272351,Oud-Oost,M Oost,459254
119,1283544,Oud-Oost,M Oost,459254
120,1289593,Oud-Oost,M Oost,459254
121,1297017,Watergraafsmeer,M Oost,459254
122,1331157,IJburg - Zeeburgereiland,M Oost,459254
123,1331954,Oostelijk Havengebied - Indische Buurt,M Oost,459254
124,1336422,IJburg - Zeeburgereiland,M Oost,459254
125,1350096,Oud-Oost,M Oost,459254
126,1350246,Oud-Oost,M Oost,459254
127,1353295,Oostelijk Havengebied - Indische Buurt,M Oost,459254
128,1364081,Oostelijk Havengebied - Indische Buurt,M Oost,459254
129,1383494,Oostelijk Havengebied - Indische Buurt,M Oost,459254
130,1396840,IJburg - Zeeburgereiland,M Oost,459254
131,1397317,Oud-Oost,M Oost,459254
132,1400779,Watergraafsmeer,M Oost,459254
133,1402541,Oud-Oost,M Oost,459254
134,1410121,Oostelijk Havengebied - Indische Buurt,M Oost,459254
135,1421484,Watergraafsmeer,M Oost,459254
136,1453066,Oostelijk Havengebied - Indische Buurt,M Oost,459254
137,1460845,Oud-Oost,M Oost,459254
138,1468509,Oostelijk Havengebied - Indische Buurt,M Oost,459254
139,1474513,Oostelijk Havengebied - Indische Buurt,M Oost,459254
140,1485383,Oostelijk Havengebied - Indische Buurt,M Oost,459254
141,1495928,Oostelijk Havengebied - Indische Buurt,M Oost,459254
142,1503106,Oud-Oost,M Oost,459254
143,1509400,Oostelijk Havengebied - Indische Buurt,M Oost,459254
144,1514753,Oostelijk Havengebied - Indische Buurt,M Oost,459254
145,1525046,Oostelijk Havengebied - Indische Buurt,M Oost,459254
146,1560179,Oud-Oost,M Oost,459254
147,1560856,Watergraafsmeer,M Oost,459254
148,1561264,Oostelijk Havengebied - Indische Buurt,M Oost,459254
149,1580062,Oostelijk Havengebied - Indische Buurt,M Oost,459254
150,1605387,Oostelijk Havengebied - Indische Buurt,M Oost,459254
151,1620658,Oud-Oost,M Oost,459254
152,1636415,Oud-Oost,M Oost,459254
153,1639096,Oostelijk Havengebied - Indische Buurt,M Oost,459254
154,1639387,Oostelijk Havengebied - Indische Buurt,M Oost,459254
155,1650475,Watergraafsmeer,M Oost,459254
156,1687286,Oostelijk Havengebied - Indische Buurt,M Oost,459254
157,1723463,Watergraafsmeer,M Oost,459254
158,1734427,Oostelijk Havengebied - Indische Buurt,M Oost,459254
159,1745212,Oud-Oost,M Oost,459254
160,1761318,Oud-Oost,M Oost,459254
161,1776018,Oud-Oost,M Oost,459254
162,1776383,Oostelijk Havengebied - Indische Buurt,M Oost,459254
163,1791234,Oostelijk Havengebied - Indische Buurt,M Oost,459254
164,1801665,Oud-Oost,M Oost,459254
165,1812527,Watergraafsmeer,M Oost,459254
166,1829726,Oud-Oost,M Oost,459254
167,1835186,Oostelijk Havengebied - Indische Buurt,M Oost,459254
168,1853292,Watergraafsmeer,M Oost,459254
169,1871426,IJburg - Zeeburgereiland,M Oost,459254
170,1890528,Watergraafsmeer,M Oost,459254
171,1892532,Oud-Oost,M Oost,459254
172,1896081,Oud-Oost,M Oost,459254
173,1911182,Oostelijk Havengebied - Indische Buurt,M Oost,459254
174,1923065,Oostelijk Havengebied - Indische Buurt,M Oost,459254
175,1927634,Oostelijk Havengebied - Indische Buurt,M Oost,459254
176,1938510,Oostelijk Havengebied - Indische Buurt,M Oost,459254
177,1942427,Oostelijk Havengebied - Indische Buurt,M Oost,459254
178,1957337,Oud-Oost,M Oost,459254
179,1973390,Oostelijk Havengebied - Indische Buurt,M Oost,459254
180,2011601,Oud-Oost,M Oost,459254
181,2024223,Oostelijk Havengebied - Indische Buurt,M Oost,459254
182,2026455,Oostelijk Havengebied - Indische Buurt,M Oost,459254
183,2026857,Oostelijk Havengebied - Indische Buurt,M Oost,459254
184,2047730,Watergraafsmeer,M Oost,459254
185,2048928,Oud-Oost,M Oost,459254
186,2080427,Oud-Oost,M Oost,459254
187,2088011,Oud-Oost,M Oost,459254
188,2115161,Oostelijk Havengebied - Indische Buurt,M Oost,459254
189,2117442,Oostelijk Havengebied - Indische Buurt,M Oost,459254
190,2133234,Oostelijk Havengebied - Indische Buurt,M Oost,459254
191,2137159,Oud-Oost,M Oost,459254
192,2147106,Oud-Oost,M Oost,459254
193,2162033,Oostelijk Havengebied - Indische Buurt,M Oost,459254
194,2207977,IJburg - Zeeburgereiland,M Oost,459254
195,2213683,Oud-Oost,M Oost,459254
196,2224903,Oud-Oost,M Oost,459254
197,2234721,Oostelijk Havengebied - Indische Buurt,M Oost,459254
198,2275974,Oostelijk Havengebied - Indische Buurt,M Oost,459254
199,2300660,Oud-Oost,M Oost,459254
200,2327428,Oud-Oost,M Oost,459254
201,2336764,Oostelijk Havengebied - Indische Buurt,M Oost,459254
202,2343911,Oostelijk Havengebied - Indische Buurt,M Oost,459254
203,2344086,Oostelijk Havengebied - Indische Buurt,M Oost,459254
204,2349446,IJburg - Zeeburgereiland,M Oost,459254
205,2391988,Oostelijk Havengebied - Indische Buurt,M Oost,459254
206,2423338,Oud-Oost,M Oost,459254
207,2438820,Oostelijk Havengebied - Indische Buurt,M Oost,459254
208,2449785,Oud-Oost,M Oost,459254
209,2459307,Watergraafsmeer,M Oost,459254
210,2464037,Oud-Oost,M Oost,459254
211,2476314,Oud-Oost,M Oost,459254
212,2485539,Watergraafsmeer,M Oost,459254
213,2503773,Oostelijk Havengebied - Indische Buurt,M Oost,459254
214,2511089,Oud-Oost,M Oost,459254
215,2529643,Oostelijk Havengebied - Indische Buurt,M Oost,459254
216,2535918,Watergraafsmeer,M Oost,459254
217,2556081,Watergraafsmeer,M Oost,459254
218,2572871,Oud-Oost,M Oost,459254
219,2583086,Oud-Oost,M Oost,459254
220,2598862,Oud-Oost,M Oost,459254
221,2622859,Oud-Oost,M Oost,459254
222,2629594,Oostelijk Havengebied - Indische Buurt,M Oost,459254
223,2638773,Watergraafsmeer,M Oost,459254
224,2644702,Oud-Oost,M Oost,459254
225,2694094,Oostelijk Havengebied - Indische Buurt,M Oost,459254
226,2700366,Oostelijk Havengebied - Indische Buurt,M Oost,459254
227,2713216,Oostelijk Havengebied - Indische Buurt,M Oost,459254
228,2726882,Oostelijk Havengebied - Indische Buurt,M Oost,459254
229,2728371,Watergraafsmeer,M Oost,459254
230,2741939,Oud-Oost,M Oost,459254
231,2783749,Oud-Oost,M Oost,459254
232,2787645,Watergraafsmeer,M Oost,459254
233,2793978,Oostelijk Havengebied - Indische Buurt,M Oost,459254
234,2813493,Oostelijk Havengebied - Indische Buurt,M Oost,459254
235,2830788,Oud-Oost,M Oost,459254
236,2870512,Oostelijk Havengebied - Indische Buurt,M Oost,459254
237,2879050,Oud-Oost,M Oost,459254
238,2892780,Oostelijk Havengebied - Indische Buurt,M Oost,459254
239,2899247,Watergraafsmeer,M Oost,459254
240,2922243,Oud-Oost,M Oost,459254
241,2923212,Oostelijk Havengebied - Indische Buurt,M Oost,459254
242,2961379,Oud-Oost,M Oost,459254
243,2965812,IJburg - Zeeburgereiland,M Oost,459254
244,2966887,Oud-Oost,M Oost,459254
245,2972662,Oostelijk Havengebied - Indische Buurt,M Oost,459254
246,2977541,Watergraafsmeer,M Oost,459254
247,2985724,Oud-Oost,M Oost,459254
248,2985952,Oud-Oost,M Oost,459254
249,3004400,Oostelijk Havengebied - Indische Buurt,M Oost,459254
250,3017116,Oostelijk Havengebied - Indische Buurt,M Oost,459254
251,3017962,Oud-Oost,M Oost,459254
252,3029661,Oostelijk Havengebied - Indische Buurt,M Oost,459254
253,3030494,Oud-Oost,M Oost,459254
254,3036789,Oud-Oost,M Oost,459254
255,3044166,Oud-Oost,M Oost,459254
256,3047061,Watergraafsmeer,M Oost,459254
257,3078208,Oostelijk Havengebied - Indische Buurt,M Oost,459254
258,3081334,Watergraafsmeer,M Oost,459254
259,3087967,Oud-Oost,M Oost,459254
260,3096977,Oostelijk Havengebied - Indische Buurt,M Oost,459254
261,3099266,IJburg - Zeeburgereiland,M Oost,459254
262,3104186,Oud-Oost,M Oost,459254
263,3107052,Oud-Oost,M Oost,459254
264,3122510,Oostelijk Havengebied - Indische Buurt,M Oost,459254
265,3137587,Oud-Oost,M Oost,459254
266,3144548,Oostelijk Havengebied - Indische Buurt,M Oost,459254
267,3155756,Oud-Oost,M Oost,459254
268,3165475,Watergraafsmeer,M Oost,459254
269,3169246,Oud-Oost,M Oost,459254
270,3171364,Oud-Oost,M Oost,459254
271,3172327,Oud-Oost,M Oost,459254
272,3180607,IJburg - Zeeburgereiland,M Oost,459254
273,3201159,Watergraafsmeer,M Oost,459254
274,3244143,Oostelijk Havengebied - Indische Buurt,M Oost,459254
275,3255105,IJburg - Zeeburgereiland,M Oost,459254
276,3258033,Oostelijk Havengebied - Indische Buurt,M Oost,459254
277,3270274,Oostelijk Havengebied - Indische Buurt,M Oost,459254
278,3285500,Oud-Oost,M Oost,459254
279,3285724,Watergraafsmeer,M Oost,459254
280,3298808,Oud-Oost,M Oost,459254
281,3301011,Watergraafsmeer,M Oost,459254
282,3307124,Oostelijk Havengebied - Indische Buurt,M Oost,459254
283,3311317,IJburg - Zeeburgereiland,M Oost,459254
284,3317378,Oostelijk Havengebied - Indische Buurt,M Oost,459254
285,3317675,Oostelijk Havengebied - Indische Buurt,M Oost,459254
286,3328384,IJburg - Zeeburgereiland,M Oost,459254
287,3335705,Oud-Oost,M Oost,459254
288,3381060,Oud-Oost,M Oost,459254
289,3402833,Oostelijk Havengebied - Indische Buurt,M Oost,459254
290,3406871,Watergraafsmeer,M Oost,459254
291,3408419,Watergraafsmeer,M Oost,459254
292,3419443,Oostelijk Havengebied - Indische Buurt,M Oost,459254
293,3428947,Oud-Oost,M Oost,459254
294,3431653,Oud-Oost,M Oost,459254
295,3436527,IJburg - Zeeburgereiland,M Oost,459254
296,3437329,Watergraafsmeer,M Oost,459254
297,3441679,Oud-Oost,M Oost,459254
298,3443295,Oud-Oost,M Oost,459254
299,3444136,Watergraafsmeer,M Oost,459254
300,3450398,Oostelijk Havengebied - Indische Buurt,M Oost,459254
301,3470189,Oud-Oost,M Oost,459254
302,3483727,Oud-Oost,M Oost,459254
303,3485635,IJburg - Zeeburgereiland,M Oost,459254
304,3504128,Oud-Oost,M Oost,459254
305,3519982,IJburg - Zeeburgereiland,M Oost,459254
306,3521399,Watergraafsmeer,M Oost,459254
307,3526216,Oud-Oost,M Oost,459254
308,3542982,Oud-Oost,M Oost,459254
309,3570490,Oud-Oost,M Oost,459254
310,3574552,Oud-Oost,M Oost,459254
311,3583322,Oud-Oost,M Oost,459254
312,3613672,IJburg - Zeeburgereiland,M Oost,459254
313,3614781,Oostelijk Havengebied - Indische Buurt,M Oost,459254
314,3665553,IJburg - Zeeburgereiland,M Oost,459254
315,3673223,Oostelijk Havengebied - Indische Buurt,M Oost,459254
316,3707018,Oud-Oost,M Oost,459254
317,3725271,Oostelijk Havengebied - Indische Buurt,M Oost,459254
318,3734794,Watergraafsmeer,M Oost,459254
319,3739133,Oud-Oost,M Oost,459254
320,3750152,Oostelijk Havengebied - Indische Buurt,M Oost,459254
