,accommodates,price
0,2,59.0
1,5,160.0
2,2,80.0
3,3,125.0
4,2,150.0
5,2,65.0
6,2,75.0
7,1,55.0
8,4,219.0
9,2,180.0
10,2,159.0
11,2,100.0
12,3,250.0
13,4,200.0
14,2,155.0
15,2,150.0
16,3,140.0
17,4,350.0
18,4,225.0
19,6,120.0
20,2,125.0
21,2,115.0
22,3,90.0
23,2,72.0
24,2,87.0
25,2,75.0
26,4,60.0
27,2,86.0
28,4,250.0
29,3,159.0
30,2,60.0
31,4,149.0
32,4,112.0
33,4,100.0
34,3,125.0
35,4,225.0
36,2,109.0
37,4,750.0
38,2,145.0
39,4,450.0
40,4,179.0
41,2,100.0
42,2,109.0
43,2,109.0
44,3,116.0
45,4,220.0
46,2,175.0
47,3,260.0
48,3,105.0
49,2,70.0
50,4,135.0
51,4,180.0
52,1,115.0
53,4,95.0
54,4,249.0
55,1,45.0
56,2,100.0
57,4,189.0
58,2,75.0
59,2,40.0
60,2,115.0
61,3,150.0
62,2,100.0
63,4,100.0
64,4,165.0
65,2,94.0
66,2,87.0
67,4,99.0
68,2,100.0
69,2,80.0
70,6,259.0
71,3,98.0
72,4,35.0
73,2,52.0
74,4,100.0
75,2,89.0
76,16,695.0
77,2,145.0
78,4,74.0
79,2,120.0
80,2,220.0
81,2,145.0
82,3,120.0
83,6,89.0
84,4,100.0
85,3,230.0
86,4,230.0
87,2,50.0
88,4,160.0
89,3,110.0
90,3,150.0
91,2,95.0
92,2,100.0
93,3,99.0
94,2,79.0
95,3,80.0
96,4,284.0
97,2,99.0
98,2,99.0
99,4,180.0
100,2,129.0
101,3,114.0
102,4,150.0
103,2,265.0
104,4,170.0
105,2,100.0
106,4,165.0
107,4,125.0
108,2,175.0
109,4,100.0
110,2,80.0
111,2,86.0
112,4,400.0
113,2,119.0
114,4,120.0
115,2,70.0
116,4,449.0
117,2,175.0
118,2,149.0
119,2,193.0
120,2,145.0
121,2,250.0
122,2,115.0
123,2,188.0
124,4,150.0
125,2,100.0
126,5,168.0
127,4,
128,2,99.0
129,4,225.0
130,2,73.0
131,2,96.0
132,4,190.0
133,4,100.0
134,2,85.0
135,2,125.0
136,1,900.0
137,4,110.0
138,2,120.0
139,2,125.0
140,2,169.0
141,2,125.0
142,3,74.0
143,3,115.0
144,12,650.0
145,4,105.0
146,2,115.0
147,2,150.0
148,2,90.0
149,2,150.0
150,2,95.0
151,2,89.0
152,2,105.0
153,3,74.0
154,1,900.0
155,4,175.0
156,3,164.0
157,2,117.0
158,1,45.0
159,4,125.0
160,5,126.0
161,3,155.0
162,4,550.0
163,4,295.0
164,4,195.0
165,3,130.0
166,16,464.0
167,2,90.0
168,2,135.0
169,2,169.0
170,2,200.0
171,2,100.0
172,2,115.0
173,2,124.0
174,2,111.0
175,2,200.0
176,4,107.0
177,4,169.0
178,4,88.0
179,2,80.0
180,4,190.0
181,4,275.0
182,4,175.0
183,2,140.0
184,2,72.0
185,2,96.0
186,4,169.0
187,2,129.0
188,2,75.0
189,4,395.0
190,2,120.0
191,3,100.0
192,4,245.0
193,2,150.0
194,2,99.0
195,2,299.0
196,2,80.0
197,4,129.0
198,4,170.0
199,2,170.0
200,2,165.0
201,4,190.0
202,2,100.0
203,2,280.0
204,2,85.0
205,2,199.0
206,3,199.0
207,3,100.0
208,4,300.0
209,3,225.0
210,2,55.0
211,2,70.0
212,2,140.0
213,2,130.0
214,4,150.0
215,3,129.0
216,4,160.0
217,3,120.0
218,2,115.0
219,4,299.0
220,3,145.0
221,4,185.0
222,4,260.0
223,3,275.0
224,2,105.0
225,4,140.0
226,5,250.0
227,2,65.0
228,4,300.0
229,2,99.0
230,2,28.0
231,2,82.0
232,2,109.0
233,2,99.0
234,2,125.0
235,4,150.0
236,4,150.0
237,4,250.0
238,2,135.0
239,2,149.0
240,3,100.0
241,2,89.0
242,2,85.0
243,4,255.0
244,4,240.0
245,4,175.0
246,2,125.0
247,4,175.0
248,2,110.0
249,2,170.0
250,2,72.0
251,4,235.0
252,2,160.0
253,4,240.0
254,8,647.0
255,2,125.0
256,2,150.0
257,2,105.0
258,2,72.0
259,4,140.0
260,2,75.0
261,5,79.0
262,2,130.0
263,2,90.0
264,4,400.0
265,4,350.0
266,3,140.0
267,2,155.0
268,2,110.0
269,5,114.0
270,4,299.0
271,3,130.0
272,2,85.0
273,5,400.0
274,7,700.0
275,4,460.0
276,2,120.0
277,4,130.0
278,4,100.0
279,5,135.0
280,2,160.0
281,4,180.0
282,2,110.0
283,2,80.0
284,2,60.0
285,8,600.0
286,1,55.0
287,4,170.0
288,3,150.0
289,2,149.0
290,4,140.0
291,2,70.0
292,4,288.0
293,2,60.0
294,2,95.0
295,4,250.0
296,3,150.0
297,4,139.0
298,4,295.0
299,4,200.0
300,2,105.0
301,4,199.0
302,6,230.0
303,2,110.0
